ID,Query,Category,Response,Timestamp,User Type
1,How long will my delivery take?,Order Tracking,Your order will arrive within the estimated time displayed in the app.,2024-03-09 14:28:26.338212,New
2,Where is my order?,Order Tracking,You can update your delivery address from the 'Order Details' section.,2024-11-18 23:33:05.338212,New
3,"I didn’t receive my food, what should I do?",Order Tracking,Sorry for the inconvenience. Please contact support for a refund or replacement.,2024-06-15 02:22:24.338212,New
4,Can I change my delivery address?,Order Tracking,Your order will arrive within the estimated time displayed in the app.,2024-05-30 04:40:47.338212,Returning
5,"I didn’t receive my food, what should I do?",Order Tracking,You can update your delivery address from the 'Order Details' section.,2024-04-25 06:15:42.338212,New
6,"I didn’t receive my food, what should I do?",Order Tracking,Your order is currently being prepared and will be dispatched soon.,2024-07-14 06:09:02.338212,Returning
7,Can I track my order live?,Order Tracking,You can update your delivery address from the 'Order Details' section.,2024-09-21 11:45:37.338212,Returning
8,Why is my order delayed?,Order Tracking,'Out for delivery' means the rider has picked up your order and is en route.,2025-02-12 04:40:11.338212,Returning
9,What time will my order arrive?,Order Tracking,'Out for delivery' means the rider has picked up your order and is en route.,2024-09-12 02:40:38.338212,New
10,How long will my delivery take?,Order Tracking,Sorry for the inconvenience. Please contact support for a refund or replacement.,2024-09-28 11:30:21.338212,New
11,Where is my order?,Order Tracking,Your order is currently being prepared and will be dispatched soon.,2024-11-17 13:29:59.338212,Returning
12,Can I track my order live?,Order Tracking,Your delivery is on the way! You can track it live in the app.,2024-04-07 01:15:40.338212,New
13,Where is my order?,Order Tracking,Sorry for the inconvenience. Please contact support for a refund or replacement.,2024-10-27 08:17:26.338212,New
14,How long will my delivery take?,Order Tracking,We apologize for the delay. There might be high demand or bad weather.,2024-10-08 20:38:17.338212,Returning
15,Is my order confirmed?,Order Tracking,Your order will arrive within the estimated time displayed in the app.,2024-12-14 06:53:13.338212,Returning
16,What time will my order arrive?,Order Tracking,Your delivery is on the way! You can track it live in the app.,2024-10-31 04:05:57.338212,Returning
17,"I didn’t receive my food, what should I do?",Order Tracking,'Out for delivery' means the rider has picked up your order and is en route.,2024-09-10 17:38:09.338212,New
18,Is my order confirmed?,Order Tracking,'Out for delivery' means the rider has picked up your order and is en route.,2024-05-21 04:15:42.338212,Returning
19,"I didn’t receive my food, what should I do?",Order Tracking,Your order is currently being prepared and will be dispatched soon.,2024-06-03 21:25:20.338212,New
20,"I didn’t receive my food, what should I do?",Order Tracking,Sorry for the inconvenience. Please contact support for a refund or replacement.,2024-09-16 21:10:43.338212,Returning
21,Why is my order delayed?,Order Tracking,Your order is currently being prepared and will be dispatched soon.,2025-02-02 20:33:20.338212,Returning
22,What time will my order arrive?,Order Tracking,"Yes, your order is confirmed! You will receive an update shortly.",2024-08-16 19:06:42.338212,Returning
23,Is my order confirmed?,Order Tracking,Your order is currently being prepared and will be dispatched soon.,2024-05-14 17:38:30.338212,New
24,Is my order confirmed?,Order Tracking,Live tracking is available in the 'Track Order' section.,2024-05-16 20:04:05.338212,New
25,"I didn’t receive my food, what should I do?",Order Tracking,Sorry for the inconvenience. Please contact support for a refund or replacement.,2024-07-18 06:52:17.338212,New
26,"I didn’t receive my food, what should I do?",Order Tracking,You can update your delivery address from the 'Order Details' section.,2024-10-20 03:23:35.338212,Returning
27,Why is my order delayed?,Order Tracking,You can update your delivery address from the 'Order Details' section.,2024-05-26 23:43:13.338212,Returning
28,Can I change my delivery address?,Order Tracking,Your delivery is on the way! You can track it live in the app.,2024-09-23 15:27:14.338212,New
29,Can I track my order live?,Order Tracking,You can update your delivery address from the 'Order Details' section.,2024-08-05 18:52:31.338212,New
30,Is my order confirmed?,Order Tracking,Your order will arrive within the estimated time displayed in the app.,2024-03-07 15:04:29.338212,Returning
31,Is my order confirmed?,Order Tracking,'Out for delivery' means the rider has picked up your order and is en route.,2024-11-18 09:35:32.338212,Returning
32,Can I track my order live?,Order Tracking,Sorry for the inconvenience. Please contact support for a refund or replacement.,2024-06-13 10:52:42.338212,Returning
33,Why is my order delayed?,Order Tracking,Live tracking is available in the 'Track Order' section.,2025-02-14 22:57:36.338212,New
34,"I didn’t receive my food, what should I do?",Order Tracking,Your order is currently being prepared and will be dispatched soon.,2024-09-14 20:53:38.338212,Returning
35,Is my order confirmed?,Order Tracking,Your order will arrive within the estimated time displayed in the app.,2024-03-28 20:06:32.338212,Returning
36,Can I track my order live?,Order Tracking,'Out for delivery' means the rider has picked up your order and is en route.,2024-05-06 04:17:55.338212,Returning
37,Where is my order?,Order Tracking,"Yes, your order is confirmed! You will receive an update shortly.",2024-07-04 15:23:31.338212,New
38,Where is my order?,Order Tracking,'Out for delivery' means the rider has picked up your order and is en route.,2024-05-04 17:08:16.338212,Returning
39,What does 'Out for delivery' mean?,Order Tracking,"Yes, your order is confirmed! You will receive an update shortly.",2024-11-23 11:49:13.338212,Returning
40,Where is my order?,Order Tracking,'Out for delivery' means the rider has picked up your order and is en route.,2024-06-18 12:48:53.338212,Returning
41,Is my order confirmed?,Order Tracking,Your order is currently being prepared and will be dispatched soon.,2024-09-16 07:59:41.338212,Returning
42,Is my order confirmed?,Order Tracking,We apologize for the delay. There might be high demand or bad weather.,2024-05-08 14:54:15.338212,New
43,Can I change my delivery address?,Order Tracking,Your order is currently being prepared and will be dispatched soon.,2024-12-07 22:17:56.338212,Returning
44,Can I change my delivery address?,Order Tracking,Your delivery is on the way! You can track it live in the app.,2024-11-09 15:24:03.338212,New
